New Stock Names,Old Stock Names,Species Group,Region,Zone,Data,Website
Arctic Char - Cambridge Bay,Arctic Char – Cambridge Bay,Salmonids,Central and Arctic,NA,NA,NA
Arctic Char - Cumberland Sound,Arctic Char – Cumberland Sound,Salmonids,Central and Arctic,NA,NA,NA
Atlantic Walrus - Baffin Bay (High Arctic),Atlantic Walrus - Baffin Bay (High Arctic),Marine Mammals,Central and Arctic,NA,NA,NA
Atlantic Walrus - Foxe Basin (Central Arctic),Atlantic Walrus – Foxe Basin (Central Arctic),Marine Mammals,Central and Arctic,NA,NA,NA
Atlantic Walrus - Hudson Bay-Davis Strait (Central Arctic),Atlantic Walrus – Hudson Bay-Davis Strait (Central Arctic),Marine Mammals,Central and Arctic,NA,NA,NA
Atlantic Walrus - Penny Strait-Lancaster Sound (High Arctic),Atlantic Walrus – Penny Strait-Lancaster Sound (High Arctic),Marine Mammals,Central and Arctic,NA,NA,NA
Atlantic Walrus - South and East Hudson Bay,Atlantic Walrus – South and East Hudson Bay,Marine Mammals,Central and Arctic,NA,NA,NA
Atlantic Walrus - West Jones Sound (High Arctic),Atlantic Walrus – West Jones Sound (High Arctic,Marine Mammals,Central and Arctic,NA,NA,NA
Beluga - Cumberland Sound,Beluga – Cumberland Sound,Marine Mammals,Central and Arctic,NA,NA,NA
Bowhead - Eastern Canada - West Greenland (ECWG),Bowhead - Eastern Canada - West Greenland (ECWG),Marine Mammals,Central and Arctic,NA,NA,NA
Greenland Halibut - Cumberland Sound,Greenland Halibut - Cumberland Sound,Groundfish,Central and Arctic,NA,NA,NA
Greenland Halibut - NAFO 0A and 0B,Greenland Halibut – NAFO 0A and 0B,Groundfish,Central and Arctic,NA,NA,NA
Lake Trout - Great Slave Lake,Lake Trout - Great Slave Lake,Salmonids,Central and Arctic,NA,NA,NA
Lake Whitefish - Great Slave Lake,Lake Whitefish – Great Slave Lake,Groundfish,Central and Arctic,NA,NA,NA
