rgn_id,year,Ep
1,1995,0.0432034
1,1996,0.0437473
1,1997,0.0437101
1,1998,0.0443581
1,1999,0.04548
1,2000,0.0462659
1,2001,0.0456754
1,2002,0.0447417
1,2003,0.0425899
1,2004,0.0425898
1,2005,0.0417528
1,2006,0.0410773
1,2007,0.0404982
1,2008,0.0404151
1,2009,0.0398553
1,2010,0.0387864
1,2011,0.0387268
1,2012,0.038863
1,2013,0.0390778
1,2014,0.0391452
1,2015,0.0390068
1,2016,0.0397099
1,2017,0.0402145
1,2018,0.0406138
1,2019,0.0409218
1,2020,0.041208
1,2021,0.0415424
1,2022,0.0416217
1,2023,0.041897
1,2024,0.0421204
1,2025,0.0423374
1,2026,0.0426958
1,2027,0.0428661
1,2028,0.0422603
2,1995,0.0432034
2,1996,0.0437473
2,1997,0.0437101
2,1998,0.0443581
2,1999,0.04548
2,2000,0.0462659
2,2001,0.0456754
2,2002,0.0447417
2,2003,0.0425899
2,2004,0.0425898
2,2005,0.0417528
2,2006,0.0410773
2,2007,0.0404982
2,2008,0.0404151
2,2009,0.0398553
2,2010,0.0387864
2,2011,0.0387268
2,2012,0.038863
2,2013,0.0390778
2,2014,0.0391452
2,2015,0.0390068
2,2016,0.0397099
2,2017,0.0402145
2,2018,0.0406138
2,2019,0.0409218
2,2020,0.041208
2,2021,0.0415424
2,2022,0.0416217
2,2023,0.041897
2,2024,0.0421204
2,2025,0.0423374
2,2026,0.0426958
2,2027,0.0428661
2,2028,0.0422603
3,1995,0.0432034
3,1996,0.0437473
3,1997,0.0437101
3,1998,0.0443581
3,1999,0.04548
3,2000,0.0462659
3,2001,0.0456754
3,2002,0.0447417
3,2003,0.0425899
3,2004,0.0425898
3,2005,0.0417528
3,2006,0.0410773
3,2007,0.0404982
3,2008,0.0404151
3,2009,0.0398553
3,2010,0.0387864
3,2011,0.0387268
3,2012,0.038863
3,2013,0.0390778
3,2014,0.0391452
3,2015,0.0390068
3,2016,0.0397099
3,2017,0.0402145
3,2018,0.0406138
3,2019,0.0409218
3,2020,0.041208
3,2021,0.0415424
3,2022,0.0416217
3,2023,0.041897
3,2024,0.0421204
3,2025,0.0423374
3,2026,0.0426958
3,2027,0.0428661
3,2028,0.0422603
4,1995,0.0432034
4,1996,0.0437473
4,1997,0.0437101
4,1998,0.0443581
4,1999,0.04548
4,2000,0.0462659
4,2001,0.0456754
4,2002,0.0447417
4,2003,0.0425899
4,2004,0.0425898
4,2005,0.0417528
4,2006,0.0410773
4,2007,0.0404982
4,2008,0.0404151
4,2009,0.0398553
4,2010,0.0387864
4,2011,0.0387268
4,2012,0.038863
4,2013,0.0390778
4,2014,0.0391452
4,2015,0.0390068
4,2016,0.0397099
4,2017,0.0402145
4,2018,0.0406138
4,2019,0.0409218
4,2020,0.041208
4,2021,0.0415424
4,2022,0.0416217
4,2023,0.041897
4,2024,0.0421204
4,2025,0.0423374
4,2026,0.0426958
4,2027,0.0428661
4,2028,0.0422603
5,1995,0.0432034
5,1996,0.0437473
5,1997,0.0437101
5,1998,0.0443581
5,1999,0.04548
5,2000,0.0462659
5,2001,0.0456754
5,2002,0.0447417
5,2003,0.0425899
5,2004,0.0425898
5,2005,0.0417528
5,2006,0.0410773
5,2007,0.0404982
5,2008,0.0404151
5,2009,0.0398553
5,2010,0.0387864
5,2011,0.0387268
5,2012,0.038863
5,2013,0.0390778
5,2014,0.0391452
5,2015,0.0390068
5,2016,0.0397099
5,2017,0.0402145
5,2018,0.0406138
5,2019,0.0409218
5,2020,0.041208
5,2021,0.0415424
5,2022,0.0416217
5,2023,0.041897
5,2024,0.0421204
5,2025,0.0423374
5,2026,0.0426958
5,2027,0.0428661
5,2028,0.0422603
6,1995,0.0432034
6,1996,0.0437473
6,1997,0.0437101
6,1998,0.0443581
6,1999,0.04548
6,2000,0.0462659
6,2001,0.0456754
6,2002,0.0447417
6,2003,0.0425899
6,2004,0.0425898
6,2005,0.0417528
6,2006,0.0410773
6,2007,0.0404982
6,2008,0.0404151
6,2009,0.0398553
6,2010,0.0387864
6,2011,0.0387268
6,2012,0.038863
6,2013,0.0390778
6,2014,0.0391452
6,2015,0.0390068
6,2016,0.0397099
6,2017,0.0402145
6,2018,0.0406138
6,2019,0.0409218
6,2020,0.041208
6,2021,0.0415424
6,2022,0.0416217
6,2023,0.041897
6,2024,0.0421204
6,2025,0.0423374
6,2026,0.0426958
6,2027,0.0428661
6,2028,0.0422603
7,1995,0.0432034
7,1996,0.0437473
7,1997,0.0437101
7,1998,0.0443581
7,1999,0.04548
7,2000,0.0462659
7,2001,0.0456754
7,2002,0.0447417
7,2003,0.0425899
7,2004,0.0425898
7,2005,0.0417528
7,2006,0.0410773
7,2007,0.0404982
7,2008,0.0404151
7,2009,0.0398553
7,2010,0.0387864
7,2011,0.0387268
7,2012,0.038863
7,2013,0.0390778
7,2014,0.0391452
7,2015,0.0390068
7,2016,0.0397099
7,2017,0.0402145
7,2018,0.0406138
7,2019,0.0409218
7,2020,0.041208
7,2021,0.0415424
7,2022,0.0416217
7,2023,0.041897
7,2024,0.0421204
7,2025,0.0423374
7,2026,0.0426958
7,2027,0.0428661
7,2028,0.0422603
